Key,Name,Abbreviation,TaxRate,Region,Country,DefaultName,BettingUrl,PixelTrackingValue,DoubleClickTrackingValue
352,Serbia,SERB,0,6,234,Serbia (SERB),,,
289,Seychelles,SEYC,0,6,171,Seychelles (SEYC),,,
290,Sierra Leone,SIER,0,6,172,Sierra Leone (SIER),,,
291,Singapore,SING,0,6,173,Singapore (SING),,,
292,Slovakia,SLOV,0,6,174,Slovakia (SLOV),,,
293,Slovenia,SLOV,0,6,175,Slovenia (SLOV),,,
294,Solomon Islands,SOLO,0,6,176,Solomon Islands (SOLO),,,
295,South Africa,SOUT,0,6,177,South Africa (SOUT),,,
6,South Carolina,SC,0.06,2,1,South Carolina (SC),,,
15,South Dakota,SD,0,3,1,South Dakota (SD),,,
296,South Korea,SOUT,0,6,178,South Korea (SOUT),,,
297,Spain,SPAI,0,6,179,Spain (SPAI),,,
96,Split-Dalmatia,SP,0,6,,Split-Dalmatia (SP),,,
298,Sri Lanka,SRI ,0,6,180,Sri Lanka (SRI ),,,
299,St. Barthelemy,STB,0,6,181,St. Barthelemy (STB),,,
300,St. Christopher,STC,0,6,182,St. Christopher (STC),,,
301,St. Croix,STCR,0,6,183,St. Croix (STCR),,,
302,St. Eustatius,STE,0,6,184,St. Eustatius (STE),,,
303,St. John,STJ,0,6,185,St. John (STJ),,,
304,St. Kitts &amp; Nevis,STK,0,6,186,St. Kitts &amp; Nevis (STK),,,
305,St. Lucia,STL,0,6,187,St. Lucia (STL),,,
306,St. Maarten,STMA,0,6,188,St. Maarten (STMA),,,
307,St. Martin,STM,0,6,189,St. Martin (STM),,,
308,St. Thomas,STT,0,6,190,St. Thomas (STT),,,
309,St. Vincent &amp; the Grenadines,STV,0,6,191,St. Vincent &amp; the Grenadines (STV),,,
310,Sudan,SUDA,0,6,192,Sudan (SUDA),,,
311,Suriname,SURI,0,6,193,Suriname (SURI),,,
312,Swaziland,SWAZ,0,6,194,Swaziland (SWAZ),,,
313,Sweden,SWED,0,6,195,Sweden (SWED),,,
314,Switzerland,SWIT,0,6,196,Switzerland (SWIT),,,
315,Syria,SYRI,0,6,197,Syria (SYRI),,,
316,Tahiti,TAHI,0,6,198,Tahiti (TAHI),,,
317,Taiwan,TAIW,0,6,199,Taiwan (TAIW),,,
318,Tajikistan,TAJI,0,6,200,Tajikistan (TAJI),,,
319,Tanzania,TANZ,0,6,201,Tanzania (TANZ),,,
35,Tennessee,TN,0,2,1,Tennessee (TN),,,
9,Texas,TX,0.0625,3,1,Texas (TX),,,
320,Thailand,THAI,0,6,202,Thailand (THAI),,,
321,Tinian,TINI,0,6,203,Tinian (TINI),,,
322,Togo,TOGO,0,6,204,Togo (TOGO),,,
323,Tonga,TONG,0,6,205,Tonga (TONG),,,
324,Tortola,TORT,0,6,206,Tortola (TORT),,,
325,Trinidad & Tobago,TRIN,0,6,207,Trinidad & Tobago (TRIN),,,
326,Truk,TRUK,0,6,208,Truk (TRUK),,,
327,Tunisia,TUNI,0,6,209,Tunisia (TUNI),,,
328,Turkey,TURK,0,6,210,Turkey (TURK),,,
329,Turks & Caicos Islands,TURK,0,6,211,Turks & Caicos Islands (TURK),,,
330,Tuvalu,TUVA,0,6,212,Tuvalu (TUVA),,,
331,Uganda,UGAN,0,6,213,Uganda (UGAN),,,
332,Ukraine,UKRA,0,6,214,Ukraine (UKRA),,,
333,Union Island,UNIO,0,6,215,Union Island (UNIO),,,
334,United Arab Emirates,UNIT,0,6,216,United Arab Emirates (UNIT),,,
363,United Kingdom,UK,0,5,,United Kingdom (UK),,,
100,Unknown,AA,0,6,1,Unknown (AA),,,
101,Unknown,PW,0,6,1,Unknown (PW),,,
102,Unknown,FM,0,6,1,Unknown (FM),,,
103,Unknown,MP,0,6,1,Unknown (MP),,,
104,Unknown,MH,0,6,1,Unknown (MH),,,
335,Uruguay,URUG,0,6,217,Uruguay (URUG),,,
336,US Virgin Islands,USVI,0,6,218,US Virgin Islands (USVI),,,
46,Utah,UT,0,1,1,Utah (UT),,,
337,Uzbekistan,UZBE,0,6,219,Uzbekistan (UZBE),,,
338,Vanuatu,VANU,0,6,220,Vanuatu (VANU),,,
339,Venezuela,VENE,0,6,221,Venezuela (VENE),,,
32,Vermont,VT,0,5,1,Vermont (VT),,,
75,Victoria,VC,0,6,,Victoria (VC),,,
93,Vienna,VE,0,6,,Vienna (VE),,,
340,Vietnam,VIET,0,6,222,Vietnam (VIET),,,
341,Virgin Gorda,VIRG,0,6,223,Virgin Gorda (VIRG),,,
68,Virgin Islands,VI,0,6,,Virgin Islands (VI),,,
19,Virginia,VA,0,5,1,Virginia (VA),,,
342,Wake Island,WAKE,0,6,224,Wake Island (WAKE),,,
343,Wales,WALE,0,6,225,Wales (WALE),,,
344,Wallis & Futuna Islands,WALL,0,6,226,Wallis & Futuna Islands (WALL),,,
16,Washington,WA,0.065,1,1,Washington (WA),,,
38,West Virginia,WV,0,5,1,West Virginia (WV),https://whus.onelink.me/XQ7fpid=viacomcbs&af_prt=viacomcbs&ar=247nav&af_click=30d&c=nav7120&utm_campaign=nav7120&af_channel=organic&utm_medium=organic&af_c_id=GAME500&utm_offer=GAME500&bc=GAME500&zone=247&af_ad=[VGUID]&utm_banner=[VGUID],280609794,474604648;280609794;x
345,Western Samoa,WEST,0,6,227,Western Samoa (WEST),,,
8,Wisconsin,WI,0.05,4,1,Wisconsin (WI),,,
39,Wyoming,WY,0,1,1,Wyoming (WY),,,
346,Yap,YAP,0,6,228,Yap (YAP),,,
347,Yugoslavia,YUGO,0,6,229,Yugoslavia (YUGO),,,
65,Yukon Territories,YT,0,6,,Yukon Territories (YT),,,
348,Zaire,ZAIR,0,6,230,Zaire (ZAIR),,,
349,Zambia,ZAMB,0,6,231,Zambia (ZAMB),,,
350,Zimbabwe,ZIMB,0,6,232,Zimbabwe (ZIMB),,,
